7.576 ACK: 0 | Send ACK
7.619 ACK: 1 | Send ACK
7.620 ACK: 0 | Send ACK
7.620 ACK: 1 | Send ACK
7.621 ACK: 0 | DATA Corrupted
7.621 ACK: 0 | Send ACK
7.621 ACK: 1 | Send ACK
7.621 ACK: 0 | Send ACK
7.621 ACK: 1 | Send ACK
7.622 ACK: 0 | Send ACK
7.622 ACK: 1 | Send ACK
7.622 ACK: 0 | Send ACK
7.623 ACK: 1 | Send ACK
7.623 ACK: 0 | Send ACK
7.623 ACK: 1 | Send ACK
7.624 ACK: 0 | Send ACK
7.624 ACK: 1 | Send ACK
7.624 ACK: 0 | Send ACK
7.625 ACK: 1 | Send ACK
7.627 ACK: 0 | Send ACK
7.627 ACK: 1 | Send ACK
7.627 ACK: 0 | Send ACK
7.628 ACK: 1 | Send ACK
7.628 ACK: 0 | Send ACK
7.629 ACK: 1 | Send ACK
7.629 ACK: 0 | Send ACK
7.629 ACK: 1 | Send ACK
7.630 ACK: 0 | Send ACK
7.630 ACK: 1 | Send ACK
7.630 ACK: 0 | Send ACK
7.630 ACK: 1 | Send ACK
7.631 ACK: 0 | Send ACK
7.631 ACK: 1 | Send ACK
7.631 ACK: 0 | Send ACK
7.632 ACK: 1 | Send ACK
7.632 ACK: 0 | Send ACK
7.633 ACK: 1 | Send ACK
7.633 ACK: 0 | Send ACK
7.633 ACK: 1 | Send ACK
7.633 ACK: 0 | Send ACK
7.634 ACK: 1 | DATA Corrupted
7.634 ACK: 1 | Send ACK
7.635 ACK: 0 | Send ACK
7.635 ACK: 1 | Send ACK
7.635 ACK: 0 | DATA Corrupted
7.636 ACK: 0 | Send ACK
7.636 ACK: 1 | Send ACK
7.636 ACK: 0 | Send ACK
7.637 ACK: 1 | Send ACK
7.637 ACK: 0 | Send ACK
7.637 ACK: 1 | Send ACK
7.637 ACK: 0 | Send ACK
7.638 ACK: 1 | Send ACK
7.638 ACK: 0 | Send ACK
7.639 ACK: 1 | DATA Corrupted
7.639 ACK: 1 | Send ACK
7.639 ACK: 0 | Send ACK
7.640 ACK: 1 | Send ACK
7.640 ACK: 0 | DATA Corrupted
7.641 ACK: 0 | DATA Corrupted
7.641 ACK: 0 | Send ACK
7.641 ACK: 1 | Send ACK
7.642 ACK: 0 | Send ACK
7.642 ACK: 1 | DATA Corrupted
7.643 ACK: 1 | DATA Corrupted
7.643 ACK: 1 | Send ACK
7.644 ACK: 0 | Send ACK
7.644 ACK: 1 | Send ACK
7.644 ACK: 0 | Send ACK
7.645 ACK: 1 | Send ACK
7.645 ACK: 0 | Send ACK
7.645 ACK: 1 | Send ACK
7.646 ACK: 0 | Send ACK
7.646 ACK: 1 | Send ACK
7.646 ACK: 0 | Send ACK
7.647 ACK: 1 | Send ACK
7.647 ACK: 0 | Send ACK
7.647 ACK: 1 | Send ACK
7.647 ACK: 0 | Send ACK
7.648 ACK: 1 | Send ACK
7.648 ACK: 0 | Send ACK
7.648 ACK: 1 | Send ACK
7.649 ACK: 0 | Send ACK
7.649 ACK: 1 | Send ACK
7.649 ACK: 0 | Send ACK
7.649 ACK: 1 | Send ACK
7.650 ACK: 0 | Send ACK
7.650 ACK: 1 | Send ACK
7.651 ACK: 0 | DATA Corrupted
7.651 ACK: 0 | DATA Corrupted
7.651 ACK: 0 | Send ACK
7.652 ACK: 1 | Send ACK
7.652 ACK: 0 | DATA Corrupted
7.653 ACK: 0 | Send ACK
7.653 ACK: 1 | Send ACK
7.653 ACK: 0 | Send ACK
7.654 ACK: 1 | Send ACK
7.654 ACK: 0 | Send ACK
7.654 ACK: 1 | Send ACK
7.654 ACK: 0 | Send ACK
7.655 ACK: 1 | Send ACK
7.655 ACK: 0 | Send ACK
7.655 ACK: 1 | Send ACK
7.656 ACK: 0 | Send ACK
7.656 ACK: 1 | Send ACK
7.656 ACK: 0 | Send ACK
7.657 ACK: 1 | DATA Corrupted
7.657 ACK: 1 | Send ACK
7.658 ACK: 0 | Send ACK
7.658 ACK: 1 | Send ACK
7.658 ACK: 0 | Send ACK
7.658 ACK: 1 | Send ACK
7.659 ACK: 0 | Send ACK
7.659 ACK: 1 | Send ACK
7.659 ACK: 0 | Send ACK
7.660 ACK: 1 | Send ACK
7.660 ACK: 0 | Send ACK
7.660 ACK: 1 | Send ACK
7.661 ACK: 0 | Send ACK
7.661 ACK: 1 | Send ACK
7.661 ACK: 0 | Send ACK
7.661 ACK: 1 | Send ACK
7.662 ACK: 0 | DATA Corrupted
7.662 ACK: 0 | Send ACK
7.663 ACK: 1 | Send ACK
7.663 ACK: 0 | Send ACK
7.663 ACK: 1 | Send ACK
7.664 ACK: 0 | Send ACK
7.664 ACK: 1 | Send ACK
7.664 ACK: 0 | Send ACK
7.664 ACK: 1 | Send ACK
7.665 ACK: 0 | Send ACK
7.665 ACK: 1 | Send ACK
7.665 ACK: 0 | Send ACK
7.665 ACK: 1 | Send ACK
7.666 ACK: 0 | Send ACK
7.666 ACK: 1 | Send ACK
7.666 ACK: 0 | Send ACK
7.666 ACK: 1 | Send ACK
7.667 ACK: 0 | Send ACK
7.667 ACK: 1 | Send ACK
7.667 ACK: 0 | Send ACK
7.667 ACK: 1 | Send ACK
7.668 ACK: 0 | Send ACK
7.668 ACK: 1 | Send ACK
7.668 ACK: 0 | Send ACK
7.669 ACK: 1 | Send ACK
7.669 ACK: 0 | Send ACK
7.669 ACK: 1 | Send ACK
7.670 ACK: 0 | DATA Corrupted
7.670 ACK: 0 | Send ACK
7.670 ACK: 1 | Send ACK
7.670 ACK: 0 | Send ACK
7.671 ACK: 1 | Send ACK
7.671 ACK: 0 | Send ACK
7.671 ACK: 1 | Send ACK
7.672 ACK: 0 | Send ACK
7.672 ACK: 1 | Send ACK
7.672 ACK: 0 | Send ACK
7.672 ACK: 1 | Send ACK
7.673 ACK: 0 | Send ACK
7.673 ACK: 1 | Send ACK
7.673 ACK: 0 | Send ACK
7.674 ACK: 1 | Send ACK
7.674 ACK: 0 | Send ACK
7.674 ACK: 1 | Send ACK
7.675 ACK: 0 | Send ACK
7.675 ACK: 1 | Send ACK
7.675 ACK: 0 | Send ACK
7.676 ACK: 1 | Send ACK
7.676 ACK: 0 | Send ACK
7.676 ACK: 1 | Send ACK
7.676 ACK: 0 | Send ACK
7.677 ACK: 1 | Send ACK
7.677 ACK: 0 | DATA Corrupted
7.678 ACK: 0 | Send ACK
7.678 ACK: 1 | Send ACK
7.678 ACK: 0 | Send ACK
7.679 ACK: 1 | Send ACK
7.679 ACK: 0 | Send ACK
7.679 ACK: 1 | Send ACK
7.679 ACK: 0 | Send ACK
7.680 ACK: 1 | DATA Corrupted
7.680 ACK: 1 | Send ACK
7.680 ACK: 0 | Send ACK
7.681 ACK: 1 | Send ACK
7.681 ACK: 0 | Send ACK
7.681 ACK: 1 | Send ACK
7.681 ACK: 0 | Send ACK
7.682 ACK: 1 | Send ACK
7.682 ACK: 0 | Send ACK
7.682 ACK: 1 | Send ACK
7.683 ACK: 0 | DATA Corrupted
7.683 ACK: 0 | Send ACK
7.683 ACK: 1 | Send ACK
7.683 ACK: 0 | Send ACK
7.684 ACK: 1 | Send ACK
7.684 ACK: 0 | Send ACK
7.684 ACK: 1 | Send ACK
7.684 ACK: 0 | Send ACK
7.685 ACK: 1 | Send ACK
7.685 ACK: 0 | Send ACK
7.685 ACK: 1 | Send ACK
7.685 ACK: 0 | Send ACK
7.686 ACK: 1 | Send ACK
7.686 ACK: 0 | Send ACK
7.686 ACK: 1 | Send ACK
7.686 ACK: 0 | Send ACK
7.687 ACK: 1 | Send ACK
7.687 ACK: 0 | Send ACK
7.687 ACK: 1 | Send ACK
7.688 ACK: 0 | Send ACK
7.688 ACK: 1 | Send ACK
7.689 ACK: 0 | Send ACK
7.689 ACK: 1 | Send ACK
7.690 ACK: 0 | DATA Corrupted
7.690 ACK: 0 | Send ACK
7.690 ACK: 1 | Send ACK
7.690 ACK: 0 | Send ACK
7.691 ACK: 1 | Send ACK
7.691 ACK: 0 | Send ACK
7.691 ACK: 1 | Send ACK
7.692 ACK: 0 | Send ACK
7.692 ACK: 1 | Send ACK
7.692 ACK: 0 | Send ACK
7.692 ACK: 1 | Send ACK
7.693 ACK: 0 | DATA Corrupted
7.693 ACK: 0 | Send ACK
7.693 ACK: 1 | Send ACK
7.693 ACK: 0 | Send ACK
7.694 ACK: 1 | Send ACK
7.694 ACK: 0 | DATA Corrupted
7.695 ACK: 0 | DATA Corrupted
7.695 ACK: 0 | Send ACK
7.696 ACK: 1 | Send ACK
7.696 ACK: 0 | Send ACK
7.696 ACK: 1 | Send ACK
7.696 ACK: 0 | Send ACK
7.696 ACK: 1 | DATA Corrupted
7.696 ACK: 1 | Send ACK
7.696 ACK: 0 | Send ACK
7.696 ACK: 1 | Send ACK
7.697 ACK: 0 | Send ACK
7.697 ACK: 1 | Send ACK
7.697 ACK: 0 | Send ACK
7.698 ACK: 1 | Send ACK
7.698 ACK: 0 | Send ACK
7.698 ACK: 1 | Send ACK
7.698 ACK: 0 | Send ACK
7.699 ACK: 1 | Send ACK
7.699 ACK: 0 | DATA Corrupted
7.699 ACK: 0 | Send ACK
7.700 ACK: 1 | Send ACK
7.700 ACK: 0 | DATA Corrupted
7.700 ACK: 0 | Send ACK
7.701 ACK: 1 | Send ACK
7.701 ACK: 0 | Send ACK
7.701 ACK: 1 | Send ACK
7.701 ACK: 0 | Send ACK
7.702 ACK: 1 | Send ACK
7.702 ACK: 0 | Send ACK
7.702 ACK: 1 | Send ACK
7.703 ACK: 0 | Send ACK
7.703 ACK: 1 | Send ACK
7.703 ACK: 0 | Send ACK
7.703 ACK: 1 | Send ACK
7.704 ACK: 0 | Send ACK
7.704 ACK: 1 | Send ACK
7.704 ACK: 0 | Send ACK
7.705 ACK: 1 | Send ACK
7.705 ACK: 0 | Send ACK
7.705 ACK: 1 | Send ACK
7.705 ACK: 0 | Send ACK
7.706 ACK: 1 | DATA Corrupted
7.706 ACK: 1 | Send ACK
7.706 ACK: 0 | Send ACK
7.707 ACK: 1 | Send ACK
7.707 ACK: 0 | Send ACK
7.707 ACK: 1 | Send ACK
7.707 ACK: 0 | Send ACK
7.708 ACK: 1 | DATA Corrupted
7.708 ACK: 1 | Send ACK
7.708 ACK: 0 | Send ACK
7.709 ACK: 1 | Send ACK
7.709 ACK: 0 | Send ACK
7.709 ACK: 1 | Send ACK
7.709 ACK: 0 | Send ACK
7.710 ACK: 1 | Send ACK
7.710 ACK: 0 | Send ACK
7.711 ACK: 1 | Send ACK
7.711 ACK: 0 | Send ACK
7.711 ACK: 1 | Send ACK
7.711 ACK: 0 | Send ACK
7.712 ACK: 1 | Send ACK
7.712 ACK: 0 | Send ACK
7.712 ACK: 1 | Send ACK
7.712 ACK: 0 | Send ACK
7.713 ACK: 1 | Send ACK
7.713 ACK: 0 | Send ACK
7.713 ACK: 1 | Send ACK
7.714 ACK: 0 | Send ACK
7.714 ACK: 1 | Send ACK
7.714 ACK: 0 | Send ACK
7.714 ACK: 1 | Send ACK
7.715 ACK: 0 | Send ACK
7.715 ACK: 1 | DATA Corrupted
7.715 ACK: 1 | Send ACK
7.715 ACK: 0 | Send ACK
7.716 ACK: 1 | Send ACK
7.716 ACK: 0 | Send ACK
7.716 ACK: 1 | Send ACK
7.716 ACK: 0 | Send ACK
7.717 ACK: 1 | Send ACK
7.717 ACK: 0 | Send ACK
7.717 ACK: 1 | DATA Corrupted
7.718 ACK: 1 | Send ACK
7.718 ACK: 0 | Send ACK
7.718 ACK: 1 | Send ACK
7.719 ACK: 0 | Send ACK
7.719 ACK: 1 | Send ACK
7.719 ACK: 0 | Send ACK
7.720 ACK: 1 | Send ACK
7.720 ACK: 0 | Send ACK
7.720 ACK: 1 | Send ACK
7.720 ACK: 0 | Send ACK
7.720 ACK: 1 | Send ACK
7.721 ACK: 0 | Send ACK
7.721 ACK: 1 | Send ACK
7.721 ACK: 0 | Send ACK
7.721 ACK: 1 | Send ACK
7.722 ACK: 0 | DATA Corrupted
7.723 ACK: 0 | Send ACK
7.723 ACK: 1 | Send ACK
7.723 ACK: 0 | Send ACK
7.724 ACK: 1 | Send ACK
7.724 ACK: 0 | Send ACK
7.724 ACK: 1 | Send ACK
7.724 ACK: 0 | Send ACK
7.725 ACK: 1 | Send ACK
7.725 ACK: 0 | Send ACK
7.725 ACK: 1 | Send ACK
7.726 ACK: 0 | Send ACK
7.726 ACK: 1 | Send ACK
7.726 ACK: 0 | Send ACK
7.727 ACK: 1 | Send ACK
7.727 ACK: 0 | Send ACK
7.727 ACK: 1 | Send ACK
7.727 ACK: 0 | Send ACK
7.728 ACK: 1 | Send ACK
7.728 ACK: 0 | DATA Corrupted
7.728 ACK: 0 | Send ACK
7.729 ACK: 1 | Send ACK
7.729 ACK: 0 | Send ACK
7.729 ACK: 1 | Send ACK
7.729 ACK: 0 | Send ACK
7.730 ACK: 1 | Send ACK
7.730 ACK: 0 | Send ACK
7.730 ACK: 1 | Send ACK
7.730 ACK: 0 | Send ACK
7.731 ACK: 1 | DATA Corrupted
7.731 ACK: 1 | Send ACK
7.731 ACK: 0 | Send ACK
7.732 ACK: 1 | Send ACK
7.732 ACK: 1 | DATA Corrupted
7.732 ACK: 0 | Send ACK
7.733 ACK: 1 | Send ACK
7.733 ACK: 0 | Send ACK
7.733 ACK: 1 | Send ACK
7.734 ACK: 0 | Send ACK
7.734 ACK: 1 | Send ACK
7.734 ACK: 0 | Send ACK
7.734 ACK: 1 | Send ACK
7.735 ACK: 0 | Send ACK
7.735 ACK: 1 | Send ACK
7.735 ACK: 0 | Send ACK
7.736 ACK: 1 | Send ACK
7.736 ACK: 0 | Send ACK
7.736 ACK: 1 | Send ACK
7.736 ACK: 0 | Send ACK
7.737 ACK: 1 | Send ACK
7.737 ACK: 0 | Send ACK
7.737 ACK: 1 | Send ACK
7.737 ACK: 0 | Send ACK
7.738 ACK: 1 | Send ACK
7.738 ACK: 0 | Send ACK
7.739 ACK: 1 | Send ACK
7.739 ACK: 0 | Send ACK
7.740 ACK: 1 | Send ACK
7.740 ACK: 0 | Send ACK
7.741 ACK: 1 | DATA Corrupted
7.741 ACK: 1 | Send ACK
7.741 ACK: 0 | Send ACK
7.741 ACK: 1 | Send ACK
7.741 ACK: 0 | Send ACK
7.742 ACK: 1 | Send ACK
7.743 ACK: 0 | DATA Corrupted
7.743 ACK: 0 | DATA Corrupted
7.744 ACK: 0 | Send ACK
7.744 ACK: 1 | Send ACK
7.745 ACK: 0 | Send ACK
7.745 ACK: 1 | Send ACK
7.745 ACK: 0 | Send ACK
7.746 ACK: 1 | Send ACK
7.746 ACK: 0 | Send ACK
7.746 ACK: 1 | Send ACK
7.746 ACK: 0 | Send ACK
7.747 ACK: 1 | Send ACK
7.747 ACK: 0 | Send ACK
7.748 ACK: 1 | Send ACK
7.748 ACK: 0 | Send ACK
7.748 ACK: 1 | Send ACK
7.749 ACK: 0 | Send ACK
7.749 ACK: 1 | Send ACK
7.749 ACK: 0 | Send ACK
7.750 ACK: 1 | Send ACK
7.750 ACK: 0 | Send ACK
7.750 ACK: 1 | Send ACK
7.752 ACK: 0 | Send ACK
7.753 ACK: 1 | DATA Corrupted
7.753 ACK: 1 | Send ACK
7.753 ACK: 0 | Send ACK
7.754 ACK: 1 | Send ACK
7.754 ACK: 0 | Send ACK
7.754 ACK: 1 | Send ACK
7.755 ACK: 0 | Send ACK
7.755 ACK: 1 | Send ACK
7.756 ACK: 0 | Send ACK
7.756 ACK: 1 | DATA Corrupted
7.757 ACK: 1 | Send ACK
7.757 ACK: 0 | Send ACK
7.759 ACK: 1 | Send ACK
7.760 ACK: 0 | Send ACK
7.760 ACK: 1 | Send ACK
7.761 ACK: 0 | Send ACK
7.761 ACK: 1 | Send ACK
7.761 ACK: 0 | Send ACK
7.761 ACK: 1 | Send ACK
7.762 ACK: 0 | Send ACK
7.762 ACK: 1 | Send ACK
7.764 ACK: 0 | Send ACK
7.765 ACK: 1 | DATA Corrupted
7.765 ACK: 1 | Send ACK
7.766 ACK: 0 | Send ACK
7.766 ACK: 1 | DATA Corrupted
7.767 ACK: 1 | Send ACK
7.767 ACK: 0 | Send ACK
7.768 ACK: 1 | Send ACK
7.768 ACK: 0 | DATA Corrupted
7.769 ACK: 0 | Send ACK
7.769 ACK: 1 | Send ACK
7.769 ACK: 0 | Send ACK
7.769 ACK: 1 | Send ACK
7.770 ACK: 0 | Send ACK
7.770 ACK: 1 | Send ACK
7.771 ACK: 0 | Send ACK
7.771 ACK: 1 | Send ACK
7.771 ACK: 0 | Send ACK
7.772 ACK: 1 | Send ACK
7.772 ACK: 0 | Send ACK
7.772 ACK: 1 | Send ACK
7.773 ACK: 0 | Send ACK
7.773 ACK: 1 | Send ACK
7.774 ACK: 0 | Send ACK
7.779 ACK: 1 | DATA Corrupted
7.779 ACK: 1 | Send ACK
7.780 ACK: 0 | Send ACK
7.780 ACK: 1 | Send ACK
7.780 ACK: 0 | Send ACK
7.780 ACK: 1 | Send ACK
7.781 ACK: 0 | Send ACK
7.781 ACK: 1 | Send ACK
7.781 ACK: 0 | Send ACK
7.781 ACK: 1 | Send ACK
7.783 ACK: 0 | Send ACK
7.784 ACK: 1 | Send ACK
7.785 ACK: 0 | DATA Corrupted
7.786 ACK: 0 | DATA Corrupted
7.786 ACK: 0 | DATA Corrupted
7.786 ACK: 0 | Send ACK
7.787 ACK: 1 | Send ACK
7.787 ACK: 0 | Send ACK
7.787 ACK: 1 | Send ACK
7.788 ACK: 0 | Send ACK
7.788 ACK: 1 | Send ACK
7.789 ACK: 0 | Send ACK
7.789 ACK: 1 | Send ACK
7.790 ACK: 0 | DATA Corrupted
7.790 ACK: 0 | Send ACK
7.791 ACK: 1 | Send ACK
7.792 ACK: 0 | Send ACK
7.792 ACK: 1 | DATA Corrupted
7.793 ACK: 1 | DATA Corrupted
7.793 ACK: 1 | Send ACK
7.793 ACK: 0 | Send ACK
7.794 ACK: 1 | Send ACK
7.794 ACK: 0 | Send ACK
7.794 ACK: 1 | Send ACK
7.794 ACK: 0 | Send ACK
7.795 ACK: 1 | Send ACK
7.797 ACK: 0 | DATA Corrupted
7.798 ACK: 0 | Send ACK
7.799 ACK: 1 | Send ACK
7.800 ACK: 0 | Send ACK
7.800 ACK: 1 | Send ACK
7.801 ACK: 0 | Send ACK
7.801 ACK: 1 | Send ACK
7.802 ACK: 0 | Send ACK
7.802 ACK: 1 | Send ACK
7.802 ACK: 0 | Send ACK
7.803 ACK: 1 | Send ACK
7.804 ACK: 0 | Send ACK
7.804 ACK: 1 | Send ACK
7.805 ACK: 0 | Send ACK
7.805 ACK: 1 | Send ACK
7.806 ACK: 0 | Send ACK
7.806 ACK: 1 | Send ACK
7.806 ACK: 0 | Send ACK
7.807 ACK: 1 | Send ACK
7.807 ACK: 0 | DATA Corrupted
7.808 ACK: 0 | Send ACK
7.808 ACK: 1 | Send ACK
7.809 ACK: 0 | DATA Corrupted
7.809 ACK: 0 | Send ACK
7.810 ACK: 1 | Send ACK
7.810 ACK: 0 | Send ACK
7.811 ACK: 1 | Send ACK
7.811 ACK: 0 | Send ACK
7.811 ACK: 1 | Send ACK
7.811 ACK: 0 | Send ACK
7.812 ACK: 1 | Send ACK
7.813 ACK: 0 | Send ACK
7.815 ACK: 1 | Send ACK
7.816 ACK: 0 | Send ACK
7.816 ACK: 1 | Send ACK
7.817 ACK: 0 | Send ACK
7.817 ACK: 1 | Send ACK
7.818 ACK: 0 | Send ACK
7.818 ACK: 1 | Send ACK
7.818 ACK: 0 | Send ACK
7.819 ACK: 1 | Send ACK
7.819 ACK: 0 | Send ACK
7.820 ACK: 1 | Send ACK
7.821 ACK: 0 | DATA Corrupted
7.821 ACK: 0 | Send ACK
7.823 ACK: 1 | Send ACK
7.824 ACK: 0 | Send ACK
7.824 ACK: 1 | Send ACK
7.824 ACK: 0 | Send ACK
7.825 ACK: 1 | Send ACK
7.825 ACK: 0 | Send ACK
7.825 ACK: 1 | Send ACK
7.826 ACK: 0 | Send ACK
7.826 ACK: 1 | Send ACK
7.827 ACK: 0 | DATA Corrupted
7.827 ACK: 0 | Send ACK
7.828 ACK: 1 | DATA Corrupted
7.828 ACK: 1 | Send ACK
7.829 ACK: 0 | Send ACK
7.831 ACK: 1 | Send ACK
7.832 ACK: 0 | Send ACK
7.833 ACK: 1 | Send ACK
7.833 ACK: 0 | Send ACK
7.834 ACK: 1 | Send ACK
7.834 ACK: 0 | Send ACK
7.835 ACK: 1 | DATA Corrupted
7.835 ACK: 1 | DATA Corrupted
7.835 ACK: 1 | Send ACK
7.836 ACK: 0 | Send ACK
7.837 ACK: 1 | Send ACK
7.837 ACK: 0 | Send ACK
7.837 ACK: 1 | Send ACK
7.838 ACK: 0 | Send ACK
7.838 ACK: 1 | Send ACK
7.838 ACK: 0 | Send ACK
7.839 ACK: 1 | Send ACK
7.839 ACK: 0 | Send ACK
7.840 ACK: 1 | Send ACK
7.840 ACK: 0 | Send ACK
7.841 ACK: 1 | DATA Corrupted
7.841 ACK: 1 | Send ACK
7.842 ACK: 0 | Send ACK
7.842 ACK: 1 | Send ACK
7.842 ACK: 0 | Send ACK
7.843 ACK: 1 | Send ACK
7.843 ACK: 0 | Send ACK
7.843 ACK: 1 | Send ACK
7.844 ACK: 0 | DATA Corrupted
7.844 ACK: 0 | Send ACK
7.845 ACK: 1 | Send ACK
7.846 ACK: 0 | Send ACK
7.848 ACK: 1 | Send ACK
7.849 ACK: 0 | Send ACK
7.849 ACK: 1 | Send ACK
7.850 ACK: 0 | Send ACK
7.850 ACK: 1 | Send ACK
7.850 ACK: 0 | Send ACK
7.851 ACK: 1 | Send ACK
7.851 ACK: 0 | Send ACK
7.851 ACK: 1 | Send ACK
7.852 ACK: 0 | Send ACK
7.855 ACK: 1 | Send ACK
7.856 ACK: 0 | DATA Corrupted
7.856 ACK: 0 | Send ACK
7.856 ACK: 1 | Send ACK
7.857 ACK: 0 | Send ACK
7.857 ACK: 1 | Send ACK
7.857 ACK: 0 | DATA Corrupted
7.858 ACK: 0 | Send ACK
7.858 ACK: 1 | DATA Corrupted
7.858 ACK: 1 | Send ACK
7.858 ACK: 0 | Send ACK
7.859 ACK: 1 | Send ACK
7.860 ACK: 0 | DATA Corrupted
7.860 ACK: 0 | Send ACK
7.862 ACK: 1 | Send ACK
7.863 ACK: 0 | Send ACK
7.865 ACK: 1 | Send ACK
7.865 ACK: 0 | Send ACK
7.866 ACK: 1 | DATA Corrupted
7.866 ACK: 1 | Send ACK
7.867 ACK: 0 | Send ACK
7.867 ACK: 1 | Send ACK
7.867 ACK: 0 | Send ACK
7.868 ACK: 1 | Send ACK
7.868 ACK: 0 | Send ACK
7.869 ACK: 1 | Send ACK
7.870 ACK: 0 | Send ACK
7.870 ACK: 1 | Send ACK
7.870 ACK: 0 | Send ACK
7.871 ACK: 1 | Send ACK
7.871 ACK: 0 | Send ACK
7.872 ACK: 1 | Send ACK
7.872 ACK: 0 | Send ACK
7.872 ACK: 1 | Send ACK
7.872 ACK: 0 | Send ACK
7.873 ACK: 1 | Send ACK
7.873 ACK: 0 | Send ACK
7.874 ACK: 1 | Send ACK
7.874 ACK: 0 | Send ACK
7.874 ACK: 1 | Send ACK
7.875 ACK: 0 | Send ACK
7.875 ACK: 1 | Send ACK
7.875 ACK: 0 | Send ACK
